endbr64, sub_rsp_8, mov_rax_qword_ptr_[rip+0x34fa9], test_rax_rax, je_4, call_rax, add_rsp_8, ret
push_qword_ptr_[rip+0x34a5a], bnd_jmp_qword_ptr_[rip+0x34a5b]
endbr64, bnd_jmp_qword_ptr_[rip+0x33ebd]
endbr64, bnd_jmp_qword_ptr_[rip+0x33eb5]
endbr64, bnd_jmp_qword_ptr_[rip+0x33ead]
endbr64, bnd_jmp_qword_ptr_[rip+0x33ea5]
endbr64, bnd_jmp_qword_ptr_[rip+0x33e9d]
endbr64, bnd_jmp_qword_ptr_[rip+0x33e95]
endbr64, bnd_jmp_qword_ptr_[rip+0x33e8d]
endbr64, bnd_jmp_qword_ptr_[rip+0x33e85]
endbr64, bnd_jmp_qword_ptr_[rip+0x33e7d]
endbr64, bnd_jmp_qword_ptr_[rip+0x33e75]
endbr64, bnd_jmp_qword_ptr_[rip+0x33e6d]
endbr64, bnd_jmp_qword_ptr_[rip+0x33e65]
endbr64, bnd_jmp_qword_ptr_[rip+0x33e5d]
endbr64, bnd_jmp_qword_ptr_[rip+0x33e55]
endbr64, bnd_jmp_qword_ptr_[rip+0x33e4d]
endbr64, bnd_jmp_qword_ptr_[rip+0x33e45]
endbr64, bnd_jmp_qword_ptr_[rip+0x33e3d]
endbr64, bnd_jmp_qword_ptr_[rip+0x33e35]
endbr64, bnd_jmp_qword_ptr_[rip+0x33e2d]
endbr64, bnd_jmp_qword_ptr_[rip+0x33e25]
endbr64, bnd_jmp_qword_ptr_[rip+0x33e1d]
endbr64, bnd_jmp_qword_ptr_[rip+0x33e15]
endbr64, bnd_jmp_qword_ptr_[rip+0x33e0d]
endbr64, bnd_jmp_qword_ptr_[rip+0x33e05]
endbr64, bnd_jmp_qword_ptr_[rip+0x33dfd]
endbr64, bnd_jmp_qword_ptr_[rip+0x33df5]
endbr64, bnd_jmp_qword_ptr_[rip+0x33ded]
endbr64, bnd_jmp_qword_ptr_[rip+0x33de5]
endbr64, bnd_jmp_qword_ptr_[rip+0x33ddd]
endbr64, bnd_jmp_qword_ptr_[rip+0x33dd5]
endbr64, bnd_jmp_qword_ptr_[rip+0x33dcd]
endbr64, bnd_jmp_qword_ptr_[rip+0x33dc5]
endbr64, bnd_jmp_qword_ptr_[rip+0x33dbd]
endbr64, bnd_jmp_qword_ptr_[rip+0x33db5]
endbr64, bnd_jmp_qword_ptr_[rip+0x33dad]
endbr64, bnd_jmp_qword_ptr_[rip+0x33da5]
endbr64, bnd_jmp_qword_ptr_[rip+0x33d9d]
endbr64, bnd_jmp_qword_ptr_[rip+0x33d95]
endbr64, bnd_jmp_qword_ptr_[rip+0x33d8d]
endbr64, bnd_jmp_qword_ptr_[rip+0x33d85]
endbr64, bnd_jmp_qword_ptr_[rip+0x33d7d]
endbr64, bnd_jmp_qword_ptr_[rip+0x33d75]
endbr64, bnd_jmp_qword_ptr_[rip+0x33d6d]
endbr64, bnd_jmp_qword_ptr_[rip+0x33d65]
endbr64, bnd_jmp_qword_ptr_[rip+0x33d5d]
endbr64, bnd_jmp_qword_ptr_[rip+0x33d55]
endbr64, bnd_jmp_qword_ptr_[rip+0x33d4d]
endbr64, bnd_jmp_qword_ptr_[rip+0x33d45]
endbr64, bnd_jmp_qword_ptr_[rip+0x33d3d]
endbr64, bnd_jmp_qword_ptr_[rip+0x33d35]
endbr64, bnd_jmp_qword_ptr_[rip+0x33d2d]
endbr64, bnd_jmp_qword_ptr_[rip+0x33d25]
endbr64, bnd_jmp_qword_ptr_[rip+0x33d1d]
endbr64, bnd_jmp_qword_ptr_[rip+0x33d15]
endbr64, bnd_jmp_qword_ptr_[rip+0x33d0d]
endbr64, bnd_jmp_qword_ptr_[rip+0x33d05]
endbr64, bnd_jmp_qword_ptr_[rip+0x33cfd]
endbr64, bnd_jmp_qword_ptr_[rip+0x33cf5]
endbr64, bnd_jmp_qword_ptr_[rip+0x33ced]
endbr64, bnd_jmp_qword_ptr_[rip+0x33ce5]
endbr64, bnd_jmp_qword_ptr_[rip+0x33cdd]
endbr64, bnd_jmp_qword_ptr_[rip+0x33cd5]
endbr64, bnd_jmp_qword_ptr_[rip+0x33ccd]
endbr64, bnd_jmp_qword_ptr_[rip+0x33cc5]
endbr64, bnd_jmp_qword_ptr_[rip+0x33cbd]
endbr64, bnd_jmp_qword_ptr_[rip+0x33cb5]
endbr64, bnd_jmp_qword_ptr_[rip+0x33cad]
endbr64, bnd_jmp_qword_ptr_[rip+0x33ca5]
endbr64, bnd_jmp_qword_ptr_[rip+0x33c9d]
endbr64, bnd_jmp_qword_ptr_[rip+0x33c95]
endbr64, bnd_jmp_qword_ptr_[rip+0x33c8d]
endbr64, bnd_jmp_qword_ptr_[rip+0x33c85]
endbr64, bnd_jmp_qword_ptr_[rip+0x33c7d]
endbr64, bnd_jmp_qword_ptr_[rip+0x33c75]
endbr64, bnd_jmp_qword_ptr_[rip+0x33c6d]
endbr64, bnd_jmp_qword_ptr_[rip+0x33c65]
endbr64, bnd_jmp_qword_ptr_[rip+0x33c5d]
endbr64, bnd_jmp_qword_ptr_[rip+0x33c55]
endbr64, bnd_jmp_qword_ptr_[rip+0x33c4d]
endbr64, bnd_jmp_qword_ptr_[rip+0x33c45]
endbr64, bnd_jmp_qword_ptr_[rip+0x33c3d]
endbr64, bnd_jmp_qword_ptr_[rip+0x33c35]
endbr64, bnd_jmp_qword_ptr_[rip+0x33c2d]
endbr64, bnd_jmp_qword_ptr_[rip+0x33c25]
endbr64, bnd_jmp_qword_ptr_[rip+0x33c1d]
endbr64, bnd_jmp_qword_ptr_[rip+0x33c15]
endbr64, bnd_jmp_qword_ptr_[rip+0x33c0d]
endbr64, bnd_jmp_qword_ptr_[rip+0x33c05]
endbr64, bnd_jmp_qword_ptr_[rip+0x33bfd]
endbr64, bnd_jmp_qword_ptr_[rip+0x33bf5]
endbr64, bnd_jmp_qword_ptr_[rip+0x33bed]
endbr64, bnd_jmp_qword_ptr_[rip+0x33be5]
endbr64, bnd_jmp_qword_ptr_[rip+0x33bdd]
endbr64, bnd_jmp_qword_ptr_[rip+0x33bd5]
endbr64, bnd_jmp_qword_ptr_[rip+0x33bcd]
endbr64, bnd_jmp_qword_ptr_[rip+0x33bc5]
endbr64, bnd_jmp_qword_ptr_[rip+0x33bbd]
endbr64, bnd_jmp_qword_ptr_[rip+0x33bb5]
endbr64, bnd_jmp_qword_ptr_[rip+0x33bad]
endbr64, bnd_jmp_qword_ptr_[rip+0x33ba5]
endbr64, bnd_jmp_qword_ptr_[rip+0x33b9d]
endbr64, bnd_jmp_qword_ptr_[rip+0x33b95]
endbr64, bnd_jmp_qword_ptr_[rip+0x33b8d]
endbr64, bnd_jmp_qword_ptr_[rip+0x33b85]
endbr64, bnd_jmp_qword_ptr_[rip+0x33b7d]
endbr64, bnd_jmp_qword_ptr_[rip+0x33b75]
endbr64, bnd_jmp_qword_ptr_[rip+0x33b6d]
endbr64, bnd_jmp_qword_ptr_[rip+0x33b5d]
endbr64, bnd_jmp_qword_ptr_[rip+0x33b55]
endbr64, bnd_jmp_qword_ptr_[rip+0x33b4d]
endbr64, bnd_jmp_qword_ptr_[rip+0x33b45]
endbr64, bnd_jmp_qword_ptr_[rip+0x33b3d]
endbr64, bnd_jmp_qword_ptr_[rip+0x33b35]
endbr64, bnd_jmp_qword_ptr_[rip+0x33b2d]
endbr64, bnd_jmp_qword_ptr_[rip+0x33b25]
endbr64, bnd_jmp_qword_ptr_[rip+0x33b1d]
endbr64, bnd_jmp_qword_ptr_[rip+0x33b15]
endbr64, bnd_jmp_qword_ptr_[rip+0x33b0d]
endbr64, bnd_jmp_qword_ptr_[rip+0x33b05]
endbr64, bnd_jmp_qword_ptr_[rip+0x33afd]
endbr64, bnd_jmp_qword_ptr_[rip+0x33af5]
endbr64, bnd_jmp_qword_ptr_[rip+0x33aed]
endbr64, bnd_jmp_qword_ptr_[rip+0x33ae5]
endbr64, bnd_jmp_qword_ptr_[rip+0x33add]
endbr64, bnd_jmp_qword_ptr_[rip+0x33ad5]
call_0xfffffffffffff670
endbr64, mov_eax_dword_ptr_[rip+0x23740e], lea_edx_[rax+1], mov_dword_ptr_[rip+0x237405]_edx, test_eax_eax, je_3, ret, push_rdx, call_0x13f87, mov_r9d_eax, test_eax_eax, je_0x29, lea_r10_[rip+0x35d54], lea_r8_[rip+0x2bafd], or_ecx_0xffffffff, mov_edx_0x869, lea_rsi_[rip+0x2aef6], mov_edi_3, xor_eax_eax, call_qword_ptr_[r10], call_0x22ad4, call_0x15b2f, mov_rdi_qword_ptr_[rip+0x2373e3], test_rdi_rdi, je_7, call_0x22e0e, mov_qword_ptr_[rip+0x2373ce]_0, call_0x1e59e, mov_dword_ptr_[rip+0x35f5f]_1, mov_dword_ptr_[rip+0x2373a5]_0, pop_rax, ret
endbr64, push_r15, xor_ecx_ecx, push_r14, push_r13, push_r12, mov_r12d_edi, push_rbp, mov_rbp_rsi, push_rbx, sub_rsp_0xa8, mov_rax_qword_ptr_fs:[0x28], mov_qword_ptr_[rsp+0x98]_rax, xor_eax_eax, lea_r15_[rsp+0x20], mov_edx_eax, add_eax_0x20, mov_qword_ptr_[rsp+rdx+0x20]_rcx, mov_qword_ptr_[rsp+rdx+0x28]_rcx, mov_qword_ptr_[rsp+rdx+0x30]_rcx, mov_qword_ptr_[rsp+rdx+0x38]_rcx, cmp_eax_0x60, jb_0xffffffffffffffe4, add_rax_r15, lea_rbx_[rip+0x23d33], lea_rdi_[rip+0x24488], mov_qword_ptr_[rsp+0x28]_rbx, mov_qword_ptr_[rax]_0, mov_qword_ptr_[rax+8]_0, mov_qword_ptr_[rax+0x10]_0, call_0xfffffffffffffb60, lea_rdi_[rip+0x24475], mov_qword_ptr_[rsp+8]_rax, call_0xfffffffffffffb4f, mov_qword_ptr_[rsp]_rax, lea_rax_[rip+0x245f], mov_dword_ptr_[rsp+0x48]_1, mov_qword_ptr_[rsp+0x68]_rax, mov_qword_ptr_[rsp+0x40]_rbx, lea_r13_[rsp+0x1c], lea_rbx_[rip+0x246e9], mov_r8_r13, lea_rcx_[rip+0x339d7], lea_rdx_[rip+0x24445], mov_rsi_rbp, mov_edi_r12d, mov_dword_ptr_[rsp+0x1c]_0, call_0xfffffffffffffab2, cmp_eax_-1, je_0x248, sub_eax_0x30, cmp_eax_0x43, ja_0x2bf, movsxd_rax_dword_ptr_[rbx+rax*4], add_rax_rbx, jmp_rax, cmp_qword_ptr_[rsp+8]_0, je_0xbb, cmp_qword_ptr_[rsp]_0, je_0xa0, mov_rax_qword_ptr_[rsp+8], add_rsp_-0x80, mov_qword_ptr_[rsp+0xb0]_rax, mov_rax_qword_ptr_[rsp+0x80], mov_ecx_0x1e, mov_qword_ptr_[rsp+0xb8]_rax, mov_rsi_r15, mov_rdi_rsp, rep_movsd_dword_ptr_[rdi]_dword_ptr_[rsi], call_0xef6d, sub_rsp_-0x80, mov_rax_qword_ptr_[rsp+0x98], xor_rax_qword_ptr_fs:[0x28], jne_0xae, add_rsp_0xa8, pop_rbx, pop_rbp, pop_r12, pop_r13, pop_r14, xor_eax_eax, pop_r15, ret, mov_rdi_qword_ptr_[rbp], mov_rsi_qword_ptr_[rip+0x35bcc], call_0x394, mov_edi_1, call_0xfffffffffffff2ea, lea_rax_[rip+0x237f4], mov_qword_ptr_[rsp]_rax, jmp_0xffffffffffffff5b, lea_rax_[rip+0x237b5], mov_qword_ptr_[rsp+8]_rax, jmp_0xffffffffffffff3f, call_0xfffffffffffff825
endbr64, push_rbp, lea_rdi_[rip+0x27f9b], call_0xfffffffffffff794, test_rax_rax, je_0xc, mov_dword_ptr_[rip+0x235ee0]_1, lea_rdi_[rip+0x27f90], mov_dword_ptr_[rip+0x33847]_1, call_0xfffffffffffff76f, mov_rbp_rax, test_rax_rax, je_0x1f, lea_rsi_[rip+0x237d8], mov_rdi_rax, call_0xfffffffffffff258, test_eax_eax, jne_0xe, mov_dword_ptr_[rip+0x3381d]_0, pop_rbp, ret, lea_rsi_[rip+0x27f71], mov_rdi_rbp, call_0xfffffffffffff239, test_eax_eax, je_0xffffffffffffffed, lea_rsi_[rip+0x27f63], mov_rdi_rbp, call_0xfffffffffffff226, test_eax_eax, jne_0xffffffffffffffda, mov_dword_ptr_[rip+0x337eb]_2, pop_rbp, ret
endbr64, xor_ebp_ebp, mov_r9_rdx, pop_rsi, mov_rdx_rsp, and_rsp_0xfffffffffffffff0, push_rax, push_rsp, lea_r8_[rip+0x23036], lea_rcx_[rip+0x22fbf], lea_rdi_[rip-0x4f8], call_qword_ptr_[rip+0x33542], hlt
lea_rdi_[rip+0x35a59], lea_rax_[rip+0x35a52], cmp_rax_rdi, je_0x17, mov_rax_qword_ptr_[rip+0x3352e], test_rax_rax, je_0xb, jmp_rax, ret
lea_rdi_[rip+0x35a29], lea_rsi_[rip+0x35a22], sub_rsi_rdi, mov_rax_rsi, shr_rsi_0x3f, sar_rax_3, add_rsi_rax, sar_rsi_1, je_0x16, mov_rax_qword_ptr_[rip+0x334f5], test_rax_rax, je_0xa, jmp_rax, ret
endbr64, cmp_byte_ptr_[rip+0x35a15]_0, jne_0x2d, push_rbp, cmp_qword_ptr_[rip+0x334d2]_0, mov_rbp_rsp, je_0xe, mov_rdi_qword_ptr_[rip+0x334f6], call_0xffffffffffffef6e, call_0xffffffffffffff69, mov_byte_ptr_[rip+0x359ed]_1, pop_rbp, ret, ret
endbr64, jmp_0xffffffffffffff7c
sub_edi_3, cmp_edi_0x15, ja_0x172, lea_rdx_[rip+0x24005], movsxd_rax_dword_ptr_[rdx+rdi*4], add_rax_rdx, jmp_rax, lea_rax_[rip+0x23345], ret
endbr64, mov_dword_ptr_[rip+0x235bb6]_1, ret
push_r13, mov_rcx_rsi, mov_r13_rdi, push_r12, mov_edx_7, mov_r12_rsi, sub_rsp_8, mov_esi_1, lea_rdi_[rip+0x23397], call_0xfffffffffffff6ee, mov_rcx_r13, mov_rdi_r12, lea_rdx_[rip+0x2338d], mov_esi_1, xor_eax_eax, call_0xffffffffffffeea5, mov_rcx_r12, mov_edx_0xe, mov_esi_1, lea_rdi_[rip+0x2337c], call_0xfffffffffffff6bc, mov_rcx_r12, mov_edx_0x24, mov_esi_1, lea_rdi_[rip+0x240fb], call_0xfffffffffffff6a3, mov_rcx_r12, mov_edx_0x11, mov_esi_1, lea_rdi_[rip+0x23359], call_0xfffffffffffff68a, mov_rcx_r12, mov_edx_0x22, mov_esi_1, lea_rdi_[rip+0x240f1], call_0xfffffffffffff671, mov_rcx_r12, mov_edx_0xe, mov_esi_1, lea_rdi_[rip+0x23339], call_0xfffffffffffff658, mov_rcx_r12, mov_edx_0x2d, mov_esi_1, lea_rdi_[rip+0x240e7], call_0xfffffffffffff63f, mov_rcx_r12, mov_edx_0x14, mov_esi_1, lea_rdi_[rip+0x23316], call_0xfffffffffffff626, mov_rcx_r12, mov_edx_0x14, mov_esi_1, lea_rdi_[rip+0x23312], call_0xfffffffffffff60d, mov_rcx_r12, mov_edx_0x16, mov_esi_1, lea_rdi_[rip+0x2330e], call_0xfffffffffffff5f4, mov_rcx_r12, mov_edx_0x32, mov_esi_1, lea_rdi_[rip+0x240b3], call_0xfffffffffffff5db, mov_rcx_r12, mov_edx_0x19, mov_esi_1, lea_rdi_[rip+0x232f3], call_0xfffffffffffff5c2, mov_rdi_r12, lea_rcx_[rip+0x232fe], lea_rdx_[rip+0x240bc], mov_esi_1, xor_eax_eax, call_0xffffffffffffed75, mov_rcx_r12, mov_edx_0x1c, mov_esi_1, lea_rdi_[rip+0x232e9], call_0xfffffffffffff58c, mov_rdi_r12, lea_rcx_[rip+0x232f7], lea_rdx_[rip+0x240ae], mov_esi_1, xor_eax_eax, call_0xffffffffffffed3f, mov_rcx_r12, mov_edx_0x2b, mov_esi_1, lea_rdi_[rip+0x240c6], call_0xfffffffffffff556, mov_rdi_r12, lea_rcx_[rip+0x232da], lea_rdx_[rip+0x240e0], mov_esi_1, xor_eax_eax, call_0xffffffffffffed09, mov_rcx_r12, mov_edx_0x17, mov_esi_1, lea_rdi_[rip+0x232bb], call_0xfffffffffffff520, mov_rcx_r12, mov_edx_0x30, mov_esi_1, lea_rdi_[rip+0x240e7], call_0xfffffffffffff507, mov_rcx_r12, mov_edx_0x17, mov_esi_1, lea_rdi_[rip+0x232a1], call_0xfffffffffffff4ee, mov_rcx_r12, mov_edx_0x27, mov_esi_1, lea_rdi_[rip+0x240ed], call_0xfffffffffffff4d5, mov_rcx_r12, mov_edx_0x1d, mov_esi_1, lea_rdi_[rip+0x23287], call_0xfffffffffffff4bc, mov_rcx_r12, mov_edx_0x35, mov_esi_1, lea_rdi_[rip+0x240e3], call_0xfffffffffffff4a3, mov_rcx_r12, mov_edx_0x23, mov_esi_1, lea_rdi_[rip+0x24102], call_0xfffffffffffff48a, mov_rcx_r12, mov_edx_0x2f, mov_esi_1, lea_rdi_[rip+0x24111], call_0xfffffffffffff471, mov_rcx_r12, mov_edx_0x13, mov_esi_1, lea_rdi_[rip+0x23241], call_0xfffffffffffff458, add_rsp_8, mov_rcx_r12, pop_r12, mov_edx_0x3a, mov_esi_1, lea_rdi_[rip+0x24109], pop_r13, jmp_0xfffffffffffff437
push_rbx, mov_rbx_rdi, lea_rdi_[rip+0x1356a5], call_0xfffffffffffff435, mov_eax_dword_ptr_[rip+0x13563e], test_eax_eax, je_0x18, lea_rdi_[rip+0x13568f], pop_rbx, jmp_0xfffffffffffff47e, mov_rax_qword_ptr_[rip+0x135631], lea_rdx_[rip+0x135622], mov_qword_ptr_[rip+0x135623]_rbx, mov_qword_ptr_[rbx]_rdx, mov_qword_ptr_[rbx+8]_rax, mov_qword_ptr_[rax]_rbx, lea_rdi_[rip+0x13561a], call_0xffffffffffffebda, lea_rdi_[rip+0x13564e], pop_rbx, jmp_0xfffffffffffff43d
push_rbp, mov_rbp_rdi, mov_rdi_qword_ptr_[rdi+0x40], test_rdi_rdi, je_0xf, call_0xffffffffffffee13, mov_qword_ptr_[rbp+0x40]_0, lea_rdi_[rip+0x3553f], call_0xfffffffffffff3af, mov_eax_dword_ptr_[rip+0x354e8], cmp_eax_0x3f, jg_0x41, mov_rdx_qword_ptr_[rip+0x35520], lea_rcx_[rip+0x35511], mov_qword_ptr_[rip+0x35512]_rbp, mov_qword_ptr_[rbp]_rcx, mov_qword_ptr_[rbp+8]_rdx, mov_qword_ptr_[rdx]_rbp, inc_eax, lea_rdi_[rip+0x35506], pop_rbp, mov_dword_ptr_[rip+0x354b3]_eax, jmp_0xfffffffffffff3cf, mov_rdi_rbp, call_0xffffffffffffedad, lea_rdi_[rip+0x354e1], pop_rbp, jmp_0xfffffffffffff3b0
push_rbp, mov_rbp_rdi, lea_rdi_[rip+0x354c5], call_0xfffffffffffff335, mov_eax_dword_ptr_[rip+0x3546a], cmp_eax_0x3f, jg_0x37, mov_rdx_qword_ptr_[rip+0x35496], lea_rcx_[rip+0x35487], mov_qword_ptr_[rip+0x35488]_rbp, mov_qword_ptr_[rbp]_rcx, mov_qword_ptr_[rbp+8]_rdx, mov_qword_ptr_[rdx]_rbp, inc_eax, lea_rdi_[rip+0x3548c], pop_rbp, mov_dword_ptr_[rip+0x35435]_eax, jmp_0xfffffffffffff355, mov_rdi_rbp, call_0xffffffffffffed3d, lea_rdi_[rip+0x35471], pop_rbp, jmp_0xfffffffffffff340
push_rbp, mov_rbp_rdi, lea_rdi_[rip+0x35455], call_0xfffffffffffff2c5, mov_eax_dword_ptr_[rip+0x353f6], cmp_eax_0x3f, jg_0x37, mov_rdx_qword_ptr_[rip+0x35416], lea_rcx_[rip+0x35407], mov_qword_ptr_[rip+0x35408]_rbp, mov_qword_ptr_[rbp]_rcx, mov_qword_ptr_[rbp+8]_rdx, mov_qword_ptr_[rdx]_rbp, inc_eax, lea_rdi_[rip+0x3541c], pop_rbp, mov_dword_ptr_[rip+0x353c1]_eax, jmp_0xfffffffffffff2e5, mov_rdi_rbp, call_0xffffffffffffeccd, lea_rdi_[rip+0x35401], pop_rbp, jmp_0xfffffffffffff2d0
push_rbp, mov_rbp_rdi, lea_rdi_[rip+0x353e5], call_0xfffffffffffff255, mov_eax_dword_ptr_[rip+0x35382], cmp_eax_0x3f, jg_0x37, mov_rdx_qword_ptr_[rip+0x35396], lea_rcx_[rip+0x35387], mov_qword_ptr_[rip+0x35388]_rbp, mov_qword_ptr_[rbp]_rcx, mov_qword_ptr_[rbp+8]_rdx, mov_qword_ptr_[rdx]_rbp, inc_eax, lea_rdi_[rip+0x353ac], pop_rbp, mov_dword_ptr_[rip+0x3534d]_eax, jmp_0xfffffffffffff275, mov_rdi_rbp, call_0xffffffffffffec5d, lea_rdi_[rip+0x35391], pop_rbp, jmp_0xfffffffffffff260
push_r15, push_r14, lea_r14_[rip+0x135545], push_r13, push_r12, push_rbp, push_rbx, sub_rsp_8, mov_rbx_qword_ptr_[rip+0x135534], mov_r13d_dword_ptr_[rip+0x2367f5], cmp_rbx_r14, je_0x86, mov_rbp_rdi, xor_r15d_r15d, xor_r12d_r12d, jmp_0x18, test_r12_r12, jne_0x49, mov_rbx_qword_ptr_[rbx], cmp_rbx_r14, je_0x31, lea_rdi_[rbx+0x10], mov_rsi_rbp, call_0xffffffffffffef9c, test_eax_eax, cmove_r12_rbx, test_r13d_r13d, je_0xffffffffffffffde, movzx_eax_byte_ptr_[rbx+0x1e0], mov_rbx_qword_ptr_[rbx], and_eax_0x20, cmp_al_1, sbb_r15d_-1, cmp_rbx_r14, jne_0xffffffffffffffd3, cmp_r15d_1, setle_al, test_r13d_r13d, je_6, test_al_al, jne_0x16, add_rsp_8, pop_rbx, pop_rbp, mov_rax_r12, pop_r12, pop_r13, pop_r14, pop_r15, ret, mov_dword_ptr_[rip+0x23676e]_0, jmp_0xffffffffffffffe2, mov_eax_1, xor_r12d_r12d, jmp_0xffffffffffffffcf
movzx_eax_byte_ptr_[rdi+0x154], cmp_al_2, je_7, cmp_al_3, je_0xb, ret, jmp_0xd210, jmp_0xb9e8
movzx_eax_byte_ptr_[rdi+0x154], cmp_al_2, je_0x17, cmp_al_3, jne_0xb, jmp_0xc7e1, mov_eax_0xffffffff, ret, jmp_0xdc50
mov_edx_dword_ptr_[rip+0x2366fe], test_edx_edx, jne_0x58, mov_eax_dword_ptr_[rip+0x2366e8], test_eax_eax, je_0x36, movdqa_xmm1_xmmword_ptr_[rip+0x236634], movaps_xmmword_ptr_[rdi]_xmm1, movdqa_xmm2_xmmword_ptr_[rip+0x236639], movaps_xmmword_ptr_[rdi+0x10]_xmm2, movdqa_xmm3_xmmword_ptr_[rip+0x23663d], movaps_xmmword_ptr_[rdi+0x20]_xmm3, movdqa_xmm4_xmmword_ptr_[rip+0x236641], movaps_xmmword_ptr_[rdi+0x30]_xmm4, ret, pxor_xmm0_xmm0, movaps_xmmword_ptr_[rdi]_xmm0, movaps_xmmword_ptr_[rdi+0x10]_xmm0, movaps_xmmword_ptr_[rdi+0x20]_xmm0, movaps_xmmword_ptr_[rdi+0x30]_xmm0, ret, movdqa_xmm5_xmmword_ptr_[rip+0x236648], movaps_xmmword_ptr_[rdi]_xmm5, movdqa_xmm6_xmmword_ptr_[rip+0x23664d], movaps_xmmword_ptr_[rdi+0x10]_xmm6, movdqa_xmm7_xmmword_ptr_[rip+0x236651], movaps_xmmword_ptr_[rdi+0x20]_xmm7, movdqa_xmm5_xmmword_ptr_[rip+0x236655], movaps_xmmword_ptr_[rdi+0x30]_xmm5, ret
mov_rdx_rdi, test_rdi_rdi, je_0x6a, mov_ecx_5, lea_rdi_[rip+0x22e29], mov_rsi_rdx, repe_cmpsb_byte_ptr_[rsi]_byte_ptr_[rdi], seta_al, sbb_al_0, movsx_eax_al, test_eax_eax, je_0x4f, mov_ecx_8, lea_rdi_[rip+0x22e11], mov_rsi_rdx, repe_cmpsb_byte_ptr_[rsi]_byte_ptr_[rdi], mov_eax_3, seta_cl, sbb_cl_0, test_cl_cl, je_0x2f, mov_ecx_4, lea_rdi_[rip+0x26bd4], mov_rsi_rdx, repe_cmpsb_byte_ptr_[rsi]_byte_ptr_[rdi], seta_al, sbb_al_0, movsx_eax_al, cmp_eax_1, sbb_eax_eax, and_eax_4, sub_eax_2, ret, xor_eax_eax, ret
